Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility,nombre_entrada,grupo
Molecule 2,OC1OC(COS(=O)(=O)O)C(C(C1N)O)O,C6H13NO8S,259.23,16,0,1.0,3,9.0,5.0,47.74,167.92,n/d,-6.06,-2.35,-3.34,-3.95,-3.93,2.57,96000.0,370.0,Highly soluble,3.21,421000.0,1630.0,Highly soluble,2.73,139000.0,535.0,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-12.18,0.0,1.0,1.0,1.0,2.0,0.55,0.0,1.0,0.0,4.44,Gemcitabine,farmacos_modelo
Molecule 3,OCC1OC(O)C(C(C1OS(=O)(=O)[O-])OC1OC(C(=O)O)C(C(C1OS(=O)(=O)[O-])O)O)NC(=O)C,C14H21NO18S2--,555.44,35,0,0.86,10,18.0,6.0,97.4,324.63,n/d,-5.26,-4.03,-5.05,-7.66,-5.5,0.69,2720.0,4.9,Highly soluble,-0.91,68.3,0.123,Very soluble,4.62,23400000.0,42200.0,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-13.42,3.0,2.0,1.0,1.0,4.0,0.11,0.0,2.0,2.0,5.61,Sirolimus,farmacos_modelo
Molecule 4,O=C(NC(C(=O)O)CC(=O)O)CNC(=O)C(CCCN=C(N)N)N,C12H22N6O6,346.34,24,0,0.58,13,8.0,7.0,81.15,223.22,n/d,-5.97,-3.47,-2.41,-2.44,-3.57,2.63,148000.0,428.0,Highly soluble,1.96,31300.0,90.4,Highly soluble,0.27,645.0,1.86,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-12.65,2.0,1.0,2.0,1.0,3.0,0.17,0.0,2.0,1.0,3.59,Dexamethasone,farmacos_modelo
Molecule 5,NC(=O)CC(C(=O)O)N,C4H8N2O3,132.12,9,0,0.5,3,4.0,3.0,28.73,106.41,n/d,-3.41,-1.73,-3.99,-1.73,-2.71,1.69,6430.0,48.7,Highly soluble,1.75,7480.0,56.6,Highly soluble,1.1,1650.0,12.5,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-9.53,0.0,4.0,0.0,0.0,3.0,0.55,0.0,0.0,1.0,1.72,Ibuprofen,farmacos_modelo
Molecule 6,OC(=O)C(CCCN=C(N)N)N,C6H14N4O2,174.2,12,0,0.67,5,4.0,4.0,44.54,127.72,n/d,-4.19,-1.55,-3.21,-1.5,-2.61,2.05,19500.0,112.0,Highly soluble,2.11,22700.0,130.0,Highly soluble,0.47,514.0,2.95,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-10.34,0.0,1.0,0.0,0.0,2.0,0.55,0.0,2.0,1.0,2.47,Folic acid,ligandos_targeting
Molecule 7,OC(=O)CC(C(=O)O)N,C4H7NO4,133.1,9,0,0.5,3,5.0,3.0,27.59,100.62,n/d,-3.89,-1.13,-3.59,-1.49,-2.52,1.98,12800.0,96.3,Highly soluble,2.37,31400.0,236.0,Highly soluble,1.31,2730.0,20.5,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-9.87,0.0,4.0,0.0,0.0,3.0,0.56,0.0,0.0,1.0,1.8,Biotin,ligandos_targeting
Molecule 8,OC(=O)c1ccc(cc1)N,C7H7NO2,137.14,10,6,0.0,1,2.0,2.0,37.81,63.32,n/d,0.83,0.98,-0.12,0.5,0.55,-1.59,3.52,0.0256,Very soluble,-1.74,2.48,0.0181,Very soluble,-1.38,5.69,0.0415,Soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-6.55,0.0,3.0,0.0,0.0,1.0,0.85,0.0,1.0,1.0,1.0,D-Mannose,ligandos_targeting
Molecule 9,OCCNCCO,C4H11NO2,105.14,7,0,1.0,4,3.0,3.0,26.47,52.49,n/d,-1.43,-1.44,-1.06,-0.65,-1.14,0.67,495.0,4.71,Highly soluble,0.83,711.0,6.77,Highly soluble,-0.33,49.2,0.468,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.96,0.0,4.0,0.0,0.0,2.0,0.55,0.0,0.0,1.0,1.0,D-Galactose,ligandos_targeting
Molecule 10,OCCOCCOCCO,C6H14O4,150.17,10,0,1.0,7,4.0,2.0,35.45,58.92,n/d,-1.59,-1.0,-1.13,0.07,-0.91,0.69,740.0,4.93,Highly soluble,0.86,1090.0,7.27,Highly soluble,-0.62,35.9,0.239,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-8.34,0.0,3.0,0.0,0.0,1.0,0.55,0.0,0.0,1.0,2.25,N-Acetylneuraminic acid,ligandos_targeting
Molecule 1,OC(=O)C(O)C,C3H6O3,90.08,6,0,0.67,1,3.0,2.0,19.47,57.53,n/d,-0.72,-0.55,-0.85,-0.8,-0.73,0.12,119.0,1.32,Highly soluble,-0.01,87.6,0.972,Very soluble,0.98,866.0,9.62,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.36,0.0,4.0,0.0,0.0,2.0,0.85,0.0,0.0,1.0,1.29,Glucuronic acid,ligandos_targeting
Molecule 2,OC(=O)C(O)C,C3H6O3,90.08,6,0,0.67,1,3.0,2.0,19.47,57.53,n/d,-0.72,-0.55,-0.85,-0.8,-0.73,0.12,119.0,1.32,Highly soluble,-0.01,87.6,0.972,Very soluble,0.98,866.0,9.62,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.36,0.0,4.0,0.0,0.0,2.0,0.85,0.0,0.0,1.0,1.29,Glucosamine-6-sulfate,ligandos_targeting
Molecule 3,OCC(=O)O,C2H4O3,76.05,5,0,0.5,1,3.0,2.0,14.66,57.53,n/d,-1.11,-0.94,-1.37,-0.81,-1.05,0.45,216.0,2.84,Highly soluble,0.39,188.0,2.47,Highly soluble,1.04,844.0,11.1,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.55,0.0,4.0,0.0,0.0,2.0,0.85,0.0,0.0,1.0,1.0,Chondroitin sulfate disaccharide,ligandos_targeting
Molecule 4,OC(=O)CCC(=O)O,C4H6O4,118.09,8,0,0.5,3,4.0,2.0,24.89,74.6,n/d,-0.59,-0.06,-0.54,-0.63,-0.46,-0.0,117.0,0.994,Very soluble,-0.51,36.9,0.312,Very soluble,0.61,486.0,4.11,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.44,0.0,3.0,0.0,0.0,2.0,0.85,0.0,0.0,1.0,1.29,Arginylglycylaspartic acid,ligandos_targeting
Molecule 5,OC(=O)CCCC(=O)O,C5H8O4,132.11,9,0,0.6,4,4.0,2.0,29.69,74.6,n/d,-0.29,0.33,-0.13,-0.29,-0.1,-0.21,81.0,0.613,Very soluble,-0.82,20.1,0.152,Very soluble,0.19,206.0,1.56,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.31,0.0,3.0,0.0,0.0,1.0,0.85,0.0,0.0,1.0,1.29,Asparagine,ligandos_targeting
Molecule 6,OC(=O)CCCCC(=O)O,C6H10O4,146.14,10,0,0.67,5,4.0,2.0,34.5,74.6,n/d,0.08,0.72,0.25,0.08,0.28,-0.47,49.9,0.342,Very soluble,-1.2,9.2,0.063,Very soluble,-0.23,87.1,0.596,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.13,0.0,2.0,0.0,0.0,1.0,0.85,0.0,0.0,1.0,1.17,Arginine,ligandos_targeting
Molecule 7,OCCCCCC(=O)O,C6H12O3,132.16,9,0,0.83,5,3.0,2.0,33.89,57.53,n/d,-0.41,0.62,0.39,0.43,0.26,-0.07,112.0,0.849,Very soluble,-0.33,61.3,0.464,Very soluble,-0.67,28.4,0.215,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.4,0.0,2.0,0.0,0.0,1.0,0.85,0.0,0.0,1.0,1.2,Aspartic acid,ligandos_targeting
Molecule 8,OCCCCCC(=O)O,C6H12O3,132.16,9,0,0.83,5,3.0,2.0,33.89,57.53,n/d,-0.41,0.62,0.39,0.43,0.26,-0.07,112.0,0.849,Very soluble,-0.33,61.3,0.464,Very soluble,-0.67,28.4,0.215,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.4,0.0,2.0,0.0,0.0,1.0,0.85,0.0,0.0,1.0,1.2,4-Aminobenzoic acid,ligandos_targeting
Molecule 9,O=C1CCCCCO1,C6H10O2,114.14,8,0,0.83,0,2.0,0.0,30.13,26.3,n/d,0.01,1.1,0.88,1.87,0.97,-0.55,31.9,0.279,Very soluble,-0.11,87.8,0.769,Very soluble,-1.12,8.68,0.076,Soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-6.99,0.0,3.0,0.0,0.0,1.0,0.55,0.0,0.0,1.0,1.51,"2,2'-Iminodiethanol",ligandos_targeting
Molecule 10,OCC1OC(O)C(C(C1O)O)N,C6H13NO5,179.17,12,0,1.0,1,6.0,5.0,37.28,116.17,n/d,-3.5,-3.25,-2.75,-2.54,-3.01,1.32,3740.0,20.9,Highly soluble,1.64,7840.0,43.8,Highly soluble,2.4,44900.0,251.0,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-9.88,0.0,2.0,0.0,0.0,2.0,0.55,0.0,0.0,1.0,3.94,Triethylene glycol,ligandos_targeting
