nombre,sigma_-0.0495,sigma_-0.0485,sigma_-0.0475,sigma_-0.0465,sigma_-0.0455,sigma_-0.0445,sigma_-0.0435,sigma_-0.0425,sigma_-0.0415,sigma_-0.0405,sigma_-0.0395,sigma_-0.0385,sigma_-0.0375,sigma_-0.0365,sigma_-0.0355,sigma_-0.0345,sigma_-0.0335,sigma_-0.0325,sigma_-0.0315,sigma_-0.0305,sigma_-0.0295,sigma_-0.0285,sigma_-0.0275,sigma_-0.0265,sigma_-0.0255,sigma_-0.0245,sigma_-0.0235,sigma_-0.0225,sigma_-0.0215,sigma_-0.0205,sigma_-0.0195,sigma_-0.0185,sigma_-0.0175,sigma_-0.0165,sigma_-0.0155,sigma_-0.0145,sigma_-0.0135,sigma_-0.0125,sigma_-0.0115,sigma_-0.0105,sigma_-0.0095,sigma_-0.0085,sigma_-0.0075,sigma_-0.0065,sigma_-0.0055,sigma_-0.0045,sigma_-0.0035,sigma_-0.0025,sigma_-0.0015,sigma_-0.0005,sigma_0.0005,sigma_0.0015,sigma_0.0025,sigma_0.0035,sigma_0.0045,sigma_0.0055,sigma_0.0065,sigma_0.0075,sigma_0.0085,sigma_0.0095,sigma_0.0105,sigma_0.0115,sigma_0.0125,sigma_0.0135,sigma_0.0145,sigma_0.0155,sigma_0.0165,sigma_0.0175,sigma_0.0185,sigma_0.0195,sigma_0.0205,sigma_0.0215,sigma_0.0225,sigma_0.0235,sigma_0.0245,sigma_0.0255,sigma_0.0265,sigma_0.0275,sigma_0.0285,sigma_0.0295,sigma_0.0305,sigma_0.0315,sigma_0.0325,sigma_0.0335,sigma_0.0345,sigma_0.0355,sigma_0.0365,sigma_0.0375,sigma_0.0385,sigma_0.0395,sigma_0.0405,sigma_0.0415,sigma_0.0425,sigma_0.0435,sigma_0.0445,sigma_0.0455,sigma_0.0465,sigma_0.0475,sigma_0.0485,sigma_0.0495
Arginylglycylaspartic_acid,0.002011,0.0,0.002102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002019,0.00029,0.0,0.0,0.0,0.0,0.000254,0.002301,0.001701,0.001906,0.0,0.0,0.003564,0.002285,0.0,0.0,0.001088,0.003297,0.0,0.0,0.0,0.0,0.0,0.0,0.001575,0.002147,0.002035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002342,0.00036,0.0,0.001191,0.0,0.0,0.002457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001966,0.0,0.0,0.002057,0.0,0.0,0.0,0.0,0.0,0.00208,0.002295,0.00197,0.001984,0.0,0.000378,0.001878,0.002006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001946,0.002301,0.0,0.0
Asparagine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003123,0.006475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00596,0.0,0.0,0.0,0.006883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004668,0.0,0.0,0.0,0.0,0.0,0.0,0.006862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005594,0.0,0.0,0.0,0.0,0.0,0.006065,0.0,0.0,0.00661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00561,0.0,0.0,0.0,0.0,0.0,0.00554,0.0,0.0,0.0,0.0,0.0,0.0,0.006409,0.0,0.0
Aspartic_acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005678,0.0,0.0,0.0,0.0,0.005719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biotin,0.0,0.0,0.002705,0.00211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001859,0.0,0.0,0.0,0.0,0.0,0.0,0.002441,0.0,0.0,0.0,0.0,0.002478,0.001889,0.0,0.0,0.0,0.0,0.002218,0.003008,0.0,0.00224,0.0,0.0,0.0,0.0,0.007015,0.0,0.0,0.0,0.0,0.008403,0.0,0.0,0.0,0.002372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003419,0.0,0.003542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001965,0.0,0.002043,0.0,0.0,0.003814
Bis(2-aminoethyl)_ether,0.0,0.005303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00507,0.0,0.0,0.0,0.0,0.0,0.004402,0.0,0.0,0.0,0.0,0.0,0.009035,0.0,0.0,0.0,0.005786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003625,0.0,0.0,0.004796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003913,0.0,0.0,0.004377,0.0,0.002392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005747,0.0,0.010374
Chitobiose,0.005153,0.0,0.0,0.0,0.001881,0.0,0.002545,0.0,0.0,0.0,0.00271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001235,0.0,0.0,0.0,0.0,0.002427,0.0,0.0,0.003292,0.0,0.003141,0.005288,0.0,0.003054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000967,0.00307,0.003001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003268
Chitotriose,0.00449,0.0,0.0,0.0,0.003571,0.0,0.0,0.001683,0.0,0.0,0.0,0.002092,0.0,0.000537,0.0,0.002138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001899,0.002397,0.0,0.0,0.002351,0.0,0.0,0.001124,0.0,0.0,0.0,0.002161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002491,0.0,0.002312,0.002091,0.0,0.0,0.0,0.0,0.0,0.002293,0.0,0.0,0.0,0.0,0.002061,0.0,0.002331,0.0,0.002341,0.0,0.0,0.003559,0.0,0.0,0.0,0.0,0.0,0.0,0.002086,0.00206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chondroitin,0.0,0.001216,0.0,0.002751,0.0,0.0,0.0021,0.0,0.0,0.002698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001648,0.0,0.0,0.0,0.002693,0.0,0.0,0.0,0.0,0.0,0.0,0.002707,0.002512,0.0,0.0,0.0,0.002858,0.0,0.0,0.0,0.0,0.002696,0.0,0.0,0.0,0.001178,0.002893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002745,0.0,0.0,0.001642,0.0,0.0,0.0,0.0,0.0,0.002727,0.0,0.0,0.0,0.0,0.002537,0.005211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002819,0.0,0.0,0.0,0.0,0.0,0.0,0.001554,0.0,0.0,0.0
Cisplatin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007849,0.0,0.0,0.0,0.006134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curcumin,0.002469,0.0,0.0,0.001688,0.0,0.0,0.002649,0.0,0.0,0.001957,0.0,0.0,0.0,0.000788,0.002767,0.001778,0.000794,0.0,0.00274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001016,0.0,0.0,0.00284,0.0,0.0,0.002617,0.0,0.0,0.0,0.002705,0.0,0.00232,0.0,0.0,0.0,0.0,0.002769,0.0,0.0,0.00296,0.0,0.00276,0.0,0.0,0.0,0.003067,0.0,0.0,0.002838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002077,3.7e-05,0.003132,0.001503,0.0,0.002815,0.005897,0.0,0.002876,0.0,0.0,0.000715,0.0,0.0,0.0,0.000994,0.0,0.002373,0.0,0.0,0.0,0.0,0.0,0.002807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
