nombre,grupo,dG_P-gp_MDR1,dG_CYP3A4,dG_TfR1,dG_FRalpha,dG_Lisozima,dG_HSA,score_targeting,score_eflujo,score_transporte,score_biocompat,ITI_score,perfil
5-Fluorouracil,farmacos_modelo,-4.629,-5.127,-5.353,-5.667,-3.275,-4.48,0.48007847095743117,0.5667040321982262,0.44720397372215986,0.6189382337927515,48.87,Moderado
N-Acetylglucosamine,monomeros_degradacion,-5.372,-6.225,-5.616,-6.215,-3.514,-4.174,0.42691248028458867,0.4680619222772082,0.49623457779202046,0.5579377233282288,47.98,Moderado
Glucosamine,monomeros_degradacion,-5.7,-5.165,-5.666,-6.009,-3.314,-4.472,0.4358695676921064,0.5036753846191435,0.4484858195801954,0.6089841755997958,47.49,Moderado
Chitobiose,oligomeros_unidades,-6.135,-5.636,-5.679,-5.084,-3.983,-4.521,0.49175956591898295,0.4547299246212448,0.4406345136997276,0.4382337927514038,46.6,Moderado
Chitotriose,oligomeros_unidades,-6.29,-6.578,-5.46,-5.446,-3.873,-4.901,0.4857346527605948,0.3976169218149077,0.379746835443038,0.4663093415007657,46.12,Moderado
Glucosamine-6-sulfate,ligandos_targeting,-6.207,-5.952,-5.808,-6.621,-3.635,-4.54,0.38773424786553556,0.43443011477523646,0.43759012978689316,0.5270546197039306,43.61,Moderado
Glucuronic acid,ligandos_targeting,-6.081,-5.761,-6.001,-6.049,-3.582,-4.968,0.4085925634638399,0.45140399795327585,0.36901137638199005,0.5405819295558959,42.41,Moderado
Chondroitin sulfate disaccharide,ligandos_targeting,-6.464,-6.661,-5.791,-5.778,-4.17,-4.894,0.4408068467517736,0.3834399882000877,0.3808684505688191,0.3905053598774886,41.86,Moderado
Arginine,ligandos_targeting,-4.794,-5.604,-5.349,-6.517,-3.909,-4.649,0.42813141840859126,0.5328497546850192,0.4201249799711585,0.4571209800918837,41.25,Moderado
4-Aminobenzoic acid,ligandos_targeting,-5.504,-6.038,-5.667,-6.44,-3.676,-5.115,0.4093050093787939,0.47011655499658,0.3454574587405864,0.5165900969882593,40.57,Moderado
Lactic acid trimer,oligomeros_unidades,-6.003,-5.893,-5.488,-6.459,-4.117,-4.907,0.4213984397788723,0.44908812371493023,0.3787854510495113,0.40403266972945384,39.71,Moderado
N-Acetylneuraminic acid,ligandos_targeting,-6.98,-6.313,-6.045,-5.891,-4.064,-5.285,0.41504394604932715,0.3718447997763469,0.31821823425733053,0.4175599795814191,39.24,Moderado
Biotin,ligandos_targeting,-6.318,-6.74,-5.654,-7.532,-4.323,-5.184,0.3431507210474306,0.3877182922687556,0.3344015382150296,0.3514548238897396,33.65,Moderado
Arginylglycylaspartic acid,ligandos_targeting,-6.385,-7.414,-6.095,-7.853,-4.406,-5.118,0.2907496505435075,0.34935783966959216,0.34497676654382303,0.33027054619703944,31.31,Desfavorable
Gemcitabine,farmacos_modelo,-7.159,-7.002,-6.827,-7.736,-4.133,-6.016,0.24371054356387617,0.3263280784544995,0.20108956897933022,0.39994895354772847,26.12,Desfavorable
Ibuprofen,farmacos_modelo,-6.34,-7.041,-5.889,-8.798,-4.48,-6.156,0.2479288105966301,0.37103876392061086,0.17865726646370778,0.3113833588565594,22.19,Desfavorable
Dexamethasone,farmacos_modelo,-7.965,-7.97,-6.406,-7.441,-5.303,-6.139,0.29303187988513957,0.2307548330323987,0.18138118891203328,0.1013272077590608,21.88,Desfavorable
Paclitaxel,farmacos_modelo,-10.267,-9.861,-8.158,-9.631,-4.846,-6.898,0.028631308077875076,0.002562262990673308,0.05976606313090855,0.21796835119959165,10.96,Desfavorable
Curcumin,farmacos_modelo,-7.624,-7.692,-7.458,-9.537,-4.858,-6.572,0.08626834743347439,0.2644489449970545,0.11200128184585802,0.21490556406329772,10.44,Desfavorable
Doxorubicin,farmacos_modelo,-8.363,-9.209,-7.687,-7.741,-5.472,-7.271,0.17969008680108592,0.14456319942224666,0.0,0.05819295558958646,9.88,Desfavorable
Sirolimus,farmacos_modelo,-7.353,-0.154,-7.721,-6.603,-5.523,-7.003,0.24711587857993125,0.6661913995665564,0.04294183624419161,0.04517611026033703,3.89,Desfavorable
Folic acid,ligandos_targeting,-7.881,-9.781,-8.007,-9.669,-5.692,-6.836,0.0374825636031763,0.14274035987932088,0.06970036853068412,0.002041858090862687,2.89,Desfavorable
Methotrexate,farmacos_modelo,-8.128,-9.911,-8.313,-9.91,-5.7,-7.048,0.0,0.121991559256302,0.03573145329274153,0.0,0.0,Desfavorable
