modelo,Accuracy,Acc_std,ROC_AUC,AUC_std,F1,F1_std
Random Forest,0.9318,0.0975,0.9778,0.0444,0.9273,0.106
GradientBoosting,0.9652,0.0427,0.9833,0.0333,0.9664,0.0413
SVC,0.8955,0.0992,0.9711,0.0431,0.8939,0.1041
MLP,0.8758,0.0707,0.9544,0.0502,0.8685,0.0769
