Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,OC(=O)C(OC(=O)C(O)C)C,C6H10O5,162.14,11,0,0.67,4,5,2,35.17,83.83,n/d,-0.14,-0.62,-0.58,-0.61,-0.49,-0.49,5.21e+01,3.21e-01,Very soluble,-1.17,1.11e+01,6.82e-02,Very soluble,0.77,9.55e+02,5.89e+00,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.39,0,2,0,0,1,0.56,0,0,1,2.60
Molecule 2,O=C(C(OC(=O)C(O)C)C)OC(C(=O)O)C,C9H14O7,234.20,16,0,0.67,7,7,2,50.88,110.13,n/d,0.18,-0.68,-0.48,-0.37,-0.34,-0.94,2.67e+01,1.14e-01,Very soluble,-2.05,2.08e+00,8.90e-03,Soluble,0.63,9.94e+02,4.25e+00,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.60,0,1,0,0,0,0.56,0,1,1,3.21
Molecule 3,OC(=O)COCC(=O)O,C4H6O5,134.09,9,0,0.50,4,5,2,25.97,83.83,n/d,-0.73,-0.83,-1.37,-0.94,-0.97,0.05,1.51e+02,1.13e+00,Highly soluble,-0.55,3.74e+01,2.79e-01,Very soluble,0.85,9.60e+02,7.16e+00,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.64,0,4,0,0,2,0.56,0,0,1,1.85
Molecule 4,OCC(C(C(C(C=O)N)O)OC1OC(CO)C(C(C1N)O)O)O,C12H24N2O9,340.33,23,0,0.92,8,11,8,72.44,208.95,n/d,-5.54,-5.62,-4.92,-3.76,-4.96,2.07,3.98e+04,1.17e+02,Highly soluble,1.81,2.20e+04,6.45e+01,Highly soluble,3.65,1.52e+06,4.48e+03,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-12.31,2,1,1,1,4,0.17,0,1,1,5.18
Molecule 5,OCC(C(C(C(C=O)N)O)OC1OC(CO)C(C(C1N)O)OC1OC(CO)C(C(C1N)O)O)O,C18H35N3O13,501.48,34,0,0.94,11,16,11,106.37,293.89,n/d,-7.94,-7.83,-6.71,-5.95,-7.11,2.78,3.01e+05,6.01e+02,Highly soluble,2.52,1.65e+05,3.28e+02,Highly soluble,5.18,7.68e+07,1.53e+05,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-15.00,3,2,2,1,4,0.17,0,1,2,6.33
Molecule 6,OCC(=O)C1(O)CC(OC2CC(N)C(C(O2)C)O)c2c(C1)c(O)c1c(c2O)C(=O)c2c(C1=O)cccc2OC,C27H29NO11,543.52,39,12,0.44,5,12,6,132.66,206.07,n/d,1.27,-0.32,-2.10,1.17,0.01,-3.91,6.72e-02,1.24e-04,Soluble,-5.20,3.46e-03,6.36e-06,Moderately soluble,-3.46,1.87e-01,3.44e-04,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-8.71,3,2,1,1,3,0.17,1,1,1,5.81
Molecule 7,CC(=O)OC1C(=O)C2(C)C(O)CC3C(C2C(C2(C(C1=C(C)C(OC(=O)C(C(c1ccccc1)NC(=O)c1ccccc1)O)C2)(C)C)O)OC(=O)c1ccccc1)(CO3)OC(=O)C,C47H51NO14,853.91,62,18,0.45,15,14,4,218.96,221.29,n/d,3.66,3.41,1.70,4.59,3.34,-6.66,1.85e-04,2.16e-07,Poorly soluble,-8.00,8.61e-06,1.01e-08,Poorly soluble,-8.80,1.34e-06,1.57e-09,Poorly soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-8.91,2,3,2,1,3,0.17,0,2,3,8.34
Molecule 8,Fc1c[nH]c(=O)[nH]c1=O,C4H3FN2O2,130.08,9,6,0.00,0,3,2,27.64,65.72,n/d,1.72,-0.38,-0.32,-1.02,-0.00,-2.22,7.78e-01,5.98e-03,Soluble,-2.72,2.50e-01,1.92e-03,Soluble,-0.86,1.78e+01,1.37e-01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-5.87,0,3,0,0,2,0.55,0,0,1,1.52
Molecule 9,OC(=O)CCC(C(=O)O)NC(=O)c1ccc(cc1)N(Cc1cnc2c(n1)c(N)nc(n2)N)C,C20H22N8O5,454.44,33,16,0.25,10,9,5,118.40,210.54,n/d,-1.85,0.13,-1.13,-0.66,-0.88,-1.19,2.93e+01,6.44e-02,Very soluble,-2.05,4.02e+00,8.86e-03,Soluble,-3.99,4.67e-02,1.03e-04,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-10.39,1,0,1,1,1,0.11,0,0,2,3.58
Molecule 10,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(c(c2)OC)O)ccc1O,C21H20O6,368.38,27,12,0.14,8,6,2,102.80,93.06,n/d,3.20,3.15,1.47,4.04,2.97,-3.94,4.22e-02,1.15e-04,Soluble,-4.83,5.50e-03,1.49e-05,Moderately soluble,-4.45,1.31e-02,3.56e-05,Moderately soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-6.28,0,0,0,0,0,0.55,0,2,2,2.97
