Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,Cl[Pt]Cl.N.N,Cl2H6N2Pt,300.05,5,0,,0,,,21.16,6.48,n/d,,,,,,,,,,,,,,,,,,,,,n/d,n/d,n/d,n/d,n/d,,,,,,,,,,,
Molecule 2,OCC1OC(C(C1O)(F)F)n1ccc(nc1=O)N,C9H11F2N3O4,263.20,18,6,0.56,2,7,3,54.83,110.60,n/d,0.19,-0.76,-1.20,-3.61,-1.35,-1.71,5.18e+00,1.97e-02,Very soluble,-2.07,2.24e+00,8.49e-03,Soluble,0.62,1.09e+03,4.13e+00,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.77,0,1,0,0,0,0.55,0,0,0,3.71
Molecule 3,COC1CC(CCC1O)CC(C1OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(CCC2C)CC(OC)C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)C1)C)C)O)OC)C)C)C)C,C51H79NO13,914.17,65,0,0.75,6,13,3,253.68,195.43,n/d,6.02,5.80,1.00,3.66,4.12,-8.90,1.14e-06,1.25e-09,Poorly soluble,-9.90,1.15e-07,1.25e-10,Poorly soluble,-5.58,2.38e-03,2.61e-06,Moderately soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-7.60,2,4,1,1,4,0.17,0,2,2,10.00
Molecule 4,OCC(=O)C1(O)C(C)CC2C1(C)CC(O)C1(C2CCC2=CC(=O)C=CC12C)F,C22H29FO5,392.46,28,0,0.73,2,6,3,101.96,94.83,n/d,1.94,2.32,1.62,2.58,2.12,-3.36,1.70e-01,4.33e-04,Soluble,-3.56,1.09e-01,2.78e-04,Soluble,-2.80,6.25e-01,1.59e-03,Soluble,High,No,Yes,n/d,n/d,n/d,n/d,n/d,-7.32,0,0,0,0,0,0.55,0,0,1,5.47
Molecule 5,CC(Cc1ccc(cc1)C(C(=O)O)C)C,C13H18O2,206.28,15,6,0.46,4,2,1,62.18,37.30,n/d,3.50,3.07,3.13,3.15,3.21,-3.36,9.09e-02,4.41e-04,Soluble,-3.97,2.23e-02,1.08e-04,Soluble,-3.44,7.49e-02,3.63e-04,Soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-5.07,0,0,0,0,0,0.85,0,0,1,1.92
Molecule 6,OC(=O)CCC(C(=O)O)NC(=O)c1ccc(cc1)NCc1cnc2c(n1)c(=O)[nH]c(n2)N,C19H19N7O6,441.40,32,16,0.21,10,9,6,111.92,213.28,n/d,0.46,-0.38,-0.62,-0.60,-0.28,-2.58,1.17e+00,2.65e-03,Soluble,-4.51,1.37e-02,3.11e-05,Moderately soluble,-4.28,2.30e-02,5.21e-05,Moderately soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-8.67,2,0,1,1,2,0.11,0,0,2,3.43
Molecule 7,OC(=O)CCCCC1SCC2C1NC(=O)N2,C10H16N2O3S,244.31,16,0,0.80,5,3,3,69.34,103.73,n/d,0.33,0.04,0.74,0.66,0.44,-1.23,1.43e+01,5.85e-02,Very soluble,-2.07,2.07e+00,8.47e-03,Soluble,-1.67,5.20e+00,2.13e-02,Soluble,High,No,Yes,n/d,n/d,n/d,n/d,n/d,-7.56,0,0,0,0,0,0.56,0,1,1,3.38
Molecule 8,OCC1OC(O)C(C(C1O)O)O,C6H12O6,180.16,12,0,1.00,1,6,5,35.74,110.38,n/d,-3.24,-3.22,-2.75,-2.30,-2.88,1.15,2.55e+03,1.41e+01,Highly soluble,1.49,5.61e+03,3.11e+01,Highly soluble,2.62,7.42e+04,4.12e+02,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-9.70,0,2,0,0,2,0.55,0,0,1,4.08
Molecule 9,OCC1OC(O)C(C(C1O)O)O,C6H12O6,180.16,12,0,1.00,1,6,5,35.74,110.38,n/d,-3.24,-3.22,-2.75,-2.30,-2.88,1.15,2.55e+03,1.41e+01,Highly soluble,1.49,5.61e+03,3.11e+01,Highly soluble,2.62,7.42e+04,4.12e+02,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-9.70,0,2,0,0,2,0.55,0,0,1,4.08
Molecule 10,OCC(C(C1OC(O)(CC(C1NC(=O)C)O)C(=O)O)O)O,C11H19NO9,309.27,21,0,0.82,6,9,7,64.58,176.78,n/d,-3.47,-3.87,-3.32,-2.68,-3.34,0.82,2.07e+03,6.68e+00,Highly soluble,0.34,6.72e+02,2.17e+00,Highly soluble,2.32,6.46e+04,2.09e+02,Soluble,Low,No,Yes,n/d,n/d,n/d,n/d,n/d,-10.65,1,1,1,1,3,0.11,0,0,0,4.39
