Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,NCCNCCNCCN,C6H18N4,146.23,10,0,1.00,7,4,4,41.97,76.10,n/d,-2.51,-1.92,-1.13,-1.05,-1.65,1.30,2.90e+03,1.98e+01,Highly soluble,1.46,4.17e+03,2.85e+01,Highly soluble,-1.67,3.10e+00,2.12e-02,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-8.97,0,2,0,0,2,0.55,0,0,1,1.43
Molecule 2,CN,CH5N,31.06,2,0,1.00,0,1,1,9.63,26.02,n/d,-0.71,-0.43,-0.87,-0.73,-0.68,0.41,8.07e+01,2.60e+00,Highly soluble,0.64,1.35e+02,4.36e+00,Highly soluble,0.39,7.66e+01,2.47e+00,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-6.99,0,4,0,0,3,0.55,0,0,1,1.00
Molecule 3,N,H3N,17.03,1,0,1.00,0,1,1,4.73,3.24,n/d,-0.71,-0.43,-0.87,-0.73,-0.68,0.41,8.07e+01,2.60e+00,Highly soluble,0.64,1.35e+02,4.36e+00,Highly soluble,0.39,7.66e+01,2.47e+00,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-6.99,0,4,0,0,3,0.55,0,0,1,1.00
Molecule 4,NCCO,C2H7NO,61.08,4,0,1.00,1,2,2,15.60,46.25,n/d,-1.31,-1.06,-1.15,-0.88,-1.10,0.67,2.87e+02,4.71e+00,Highly soluble,0.84,4.20e+02,6.87e+00,Highly soluble,0.42,1.59e+02,2.61e+00,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.60,0,4,0,0,2,0.55,0,0,1,1.00
Molecule 5,NCCOCCO,C4H11NO2,105.14,7,0,1.00,4,3,2,26.30,55.48,n/d,-1.55,-1.05,-1.06,-0.57,-1.06,0.75,5.89e+02,5.61e+00,Highly soluble,0.89,8.20e+02,7.80e+00,Highly soluble,-0.23,6.12e+01,5.82e-01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-8.04,0,4,0,0,2,0.55,0,0,1,1.65
Molecule 6,NCCOCCN,C4H12N2O,104.15,7,0,1.00,4,3,2,27.84,61.27,n/d,-1.80,-1.08,-1.06,-0.81,-1.19,0.91,8.51e+02,8.17e+00,Highly soluble,1.03,1.12e+03,1.07e+01,Highly soluble,-0.45,3.70e+01,3.55e-01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-8.21,0,4,0,0,2,0.55,0,0,1,1.22
Molecule 7,COC(=O)CCN,C4H9NO2,103.12,7,0,0.75,3,3,1,25.33,52.32,n/d,-0.89,-0.49,-0.39,-0.41,-0.55,0.28,1.96e+02,1.90e+00,Highly soluble,0.27,1.94e+02,1.88e+00,Highly soluble,-0.33,4.79e+01,4.65e-01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.56,0,4,0,0,2,0.55,0,0,1,1.00
Molecule 8,CCOC(=O)C=C,C5H8O2,100.12,7,0,0.40,3,2,0,26.96,26.30,n/d,1.32,0.74,0.79,0.66,0.88,-1.09,8.06e+00,8.05e-02,Very soluble,-1.47,3.37e+00,3.36e-02,Very soluble,-0.73,1.87e+01,1.87e-01,Soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-5.97,0,3,0,0,1,0.55,0,1,1,1.25
Molecule 9,COC(=O)C(=C)C,C5H8O2,100.12,7,0,0.40,2,2,0,26.96,26.30,n/d,1.38,0.74,0.79,0.51,0.85,-1.20,6.34e+00,6.34e-02,Very soluble,-1.54,2.92e+00,2.91e-02,Very soluble,-0.71,1.95e+01,1.95e-01,Soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-5.93,0,3,0,0,1,0.55,0,1,1,1.12
Molecule 10,OC(=O)C=C,C3H4O2,72.06,5,0,0.00,1,2,1,17.83,37.30,n/d,0.35,0.26,-0.08,-0.23,0.08,-0.44,2.61e+01,3.62e-01,Very soluble,-0.70,1.45e+01,2.01e-01,Very soluble,0.44,1.98e+02,2.75e+00,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-6.49,0,3,0,0,2,0.85,0,1,1,1.07
