Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,O=CC(C(C(C(CO)O)O)O)NC(=O)C,C8H15NO6,221.21,15,0,0.75,7,6,5,48.42,127.09,n/d,-1.72,-3.23,-2.73,-1.40,-2.27,0.33,4.77e+02,2.16e+00,Highly soluble,-0.44,8.12e+01,3.67e-01,Very soluble,1.48,6.62e+03,2.99e+01,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-8.87,0,1,0,0,0,0.55,0,1,1,3.14
Molecule 2,NCCN,C2H8N2,60.10,4,0,1.00,1,2,2,17.14,52.04,n/d,-2.04,-1.10,-1.15,-1.11,-1.35,1.14,8.27e+02,1.38e+01,Highly soluble,1.47,1.79e+03,2.97e+01,Highly soluble,0.20,9.59e+01,1.60e+00,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-8.11,0,4,0,0,3,0.55,0,0,1,1.00
Molecule 3,COC(=O)C=C,C4H6O2,86.09,6,0,0.25,2,2,0,22.15,26.30,n/d,0.80,0.35,0.38,0.27,0.45,-0.75,1.55e+01,1.80e-01,Very soluble,-0.93,1.00e+01,1.17e-01,Very soluble,-0.30,4.34e+01,5.05e-01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-6.26,0,3,0,0,2,0.55,0,1,1,1.22
Molecule 4,CC1OC(=O)C(OC1=O)C,C6H8O4,144.13,10,0,0.67,0,4,0,31.41,52.60,n/d,0.64,-0.14,-0.15,0.70,0.26,-1.14,1.05e+01,7.30e-02,Very soluble,-1.32,6.90e+00,4.79e-02,Very soluble,-0.54,4.18e+01,2.90e-01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-6.72,0,3,0,0,1,0.55,0,1,1,2.68
Molecule 5,O=C1OCC(=O)OC1,C4H4O4,116.07,8,0,0.50,0,4,0,21.80,52.60,n/d,-0.16,-0.91,-0.93,0.82,-0.30,-0.46,4.04e+01,3.48e-01,Very soluble,-0.49,3.76e+01,3.24e-01,Very soluble,-0.19,7.44e+01,6.41e-01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-7.12,0,4,0,0,2,0.55,0,1,1,1.81
Molecule 6,NCCNCCN,C4H13N3,103.17,7,0,1.00,4,3,3,29.56,64.07,n/d,-2.08,-1.51,-1.06,-1.12,-1.44,1.09,1.28e+03,1.24e+01,Highly soluble,1.26,1.88e+03,1.83e+01,Highly soluble,-0.76,1.80e+01,1.74e-01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-8.41,0,3,0,0,3,0.55,0,0,1,1.00
Molecule 7,NCCNCCNCCN,C6H18N4,146.23,10,0,1.00,7,4,4,41.97,76.10,n/d,-2.51,-1.92,-1.13,-1.05,-1.65,1.30,2.90e+03,1.98e+01,Highly soluble,1.46,4.17e+03,2.85e+01,Highly soluble,-1.67,3.10e+00,2.12e-02,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-8.97,0,2,0,0,2,0.55,0,0,1,1.43
Molecule 8,NCCNCCNCCNCCN,C8H23N5,189.30,13,0,1.00,10,5,5,54.39,88.13,n/d,-2.94,-2.33,-1.27,-0.94,-1.87,1.50,5.97e+03,3.15e+01,Highly soluble,1.65,8.43e+03,4.46e+01,Highly soluble,-2.56,5.24e-01,2.77e-03,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-9.54,0,1,0,0,2,0.55,0,0,2,1.70
Molecule 9,NCCNCCNCCNCCNCCN,C10H28N6,232.37,16,0,1.00,13,6,6,66.81,100.16,n/d,-3.37,-2.74,-1.46,-0.83,-2.10,1.70,1.17e+04,5.02e+01,Highly soluble,1.84,1.62e+04,6.96e+01,Highly soluble,-3.42,8.73e-02,3.76e-04,Soluble,Low,No,No,n/d,n/d,n/d,n/d,n/d,-10.11,1,1,1,0,2,0.55,0,0,2,1.98
Molecule 10,NCCN(CCN)CCN,C6H18N4,146.23,10,0,1.00,6,4,3,41.97,81.30,n/d,-2.56,-1.84,-1.13,-1.56,-1.77,1.26,2.67e+03,1.83e+01,Highly soluble,1.40,3.66e+03,2.50e+01,Highly soluble,-0.55,4.15e+01,2.84e-01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-9.01,0,2,0,0,2,0.55,0,0,1,1.20
